year,county,collisions,deaths,injuries,population
2019,Louth,181,4,251,128884
2019,Meath,185,7,236,195044
2019,Offaly,87,5,132,77961
2019,Westmeath,104,3,130,88770
2019,Wexford,171,7,252,149722
2019,Wicklow,148,3,209,142425
2019,Clare,115,5,151,118817
2019,Cork,583,14,748,542868
2019,Kerry,178,6,251,147707
2019,Limerick,266,9,351,194899
2019,Tipperary,168,13,236,159553
2019,Waterford,168,3,225,116176
2019,Galway,295,7,410,258058
2019,Leitrim,33,1,44,32044
2019,Mayo,140,3,204,130507
2019,Roscommon,60,3,86,64544
2019,Sligo,69,1,107,65535
2019,Cavan,95,3,129,76176
2019,Donegal,185,8,287,159192
2019,Monaghan,72,2,121,61386
2020,Carlow,49,3,68,56932
2020,Dublin,1407,21,1616,1347359
2020,Kildare,172,4,225,222504
2020,Kilkenny,67,5,80,99232
2020,Laois,75,0,119,84697
2020,Longford,48,0,78,40873
2020,Louth,140,9,196,128884
2020,Meath,167,8,220,195044
2020,Offaly,64,4,79,77961
2020,Westmeath,81,4,99,88770
2020,Wexford,150,7,178,149722
2020,Wicklow,102,1,126,142425
2020,Clare,92,3,116,118817
2020,Cork,458,22,571,542868
2020,Kerry,134,9,188,147707
2020,Limerick,196,5,251,194899
2020,Tipperary,132,7,192,159553
2020,Waterford,106,2,137,116176
2020,Galway,234,5,312,258058
2020,Leitrim,33,1,46,32044
2020,Mayo,100,5,143,130507
2020,Roscommon,58,5,82,64544
2020,Sligo,63,2,84,65535
2020,Cavan,86,2,105,76176
2020,Donegal,153,10,211,159192
2020,Monaghan,62,3,74,61386
2021,Carlow,62,0,77,56932
2021,Dublin,1510,21,1788,1347359
2021,Kildare,221,7,259,222504
2021,Kilkenny,90,2,122,99232
2021,Laois,72,2,92,84697
2021,Longford,46,3,75,40873
2021,Louth,175,7,218,128884
2021,Meath,203,14,252,195044
2021,Offaly,82,0,127,77961
2021,Westmeath,91,2,115,88770
2021,Wexford,148,7,177,149722
2021,Wicklow,132,1,189,142425
2021,Clare,97,2,123,118817
2021,Cork,474,8,583,542868
2021,Kerry,170,6,224,147707
2021,Limerick,201,6,270,194899
2021,Tipperary,145,10,189,159553
2021,Waterford,140,1,170,116176
2021,Galway,250,12,331,258058
2021,Leitrim,21,0,26,32044
2021,Mayo,120,5,175,130507
2021,Roscommon,54,2,77,64544
2021,Sligo,60,1,78,65535
2021,Cavan,105,5,130,76176
2021,Donegal,169,7,222,159192
2021,Monaghan,75,5,107,61386
