county,year,full_licence,Under 17 years,17 - 20 years,21 - 24 years,25 - 29 years,30 - 39 years,40 - 49 years,50 - 59 years,60 - 69 years,70 - 79 years,80 years and over,learner
Meath,2009,91835,2,1623,5094,9606,23927,20834,15276,10215,4200,1058,10310
Meath,2010,93686,0,1432,4849,9318,24366,21679,15715,10686,4460,1181,10350
Meath,2011,95734,0,1407,4635,9039,24688,22674,16090,11155,4789,1257,10041
Meath,2012,97280,0,1316,4389,8617,24646,23486,16654,11620,5174,1378,9686
Monaghan,2009,33887,0,980,2375,3987,7626,6505,5813,4231,1820,550,3533
Monaghan,2010,34380,0,957,2333,3894,7760,6580,5904,4436,1919,597,3426
Monaghan,2011,34765,0,958,2277,3853,7832,6644,5948,4624,2022,607,3167
Monaghan,2012,34983,0,844,2162,3767,7931,6716,5988,4758,2165,652,2990
Offaly,2009,38706,0,798,2349,4333,9371,8177,6364,4471,2225,618,4809
Offaly,2010,39290,0,711,2282,4179,9624,8298,6571,4632,2328,665,4801
Offaly,2011,39254,0,704,2216,3997,9636,8377,6638,4689,2307,690,4410
Offaly,2012,40271,0,649,2035,3932,9734,8717,6856,4965,2597,786,4484
Roscommon,2009,35574,0,869,2328,3897,7356,6798,6541,4603,2507,675,3753
Roscommon,2010,35862,0,817,2263,3853,7521,6796,6536,4690,2626,760,3538
Roscommon,2011,36392,0,790,2187,3839,7683,6898,6596,4866,2696,837,3464
Roscommon,2012,36887,0,714,2065,3697,7888,6977,6715,5112,2785,934,3221
Sligo,2009,36086,0,918,2283,3976,7633,7186,6496,4677,2281,636,3884
Sligo,2010,37119,0,936,2248,3930,7933,7215,6731,5006,2423,697,3618
Sligo,2011,37569,0,837,2160,3933,8071,7226,6797,5213,2567,765,3421
Sligo,2012,37890,0,719,2072,3738,8188,7289,6918,5399,2758,809,3106
Tipperary,2009,87759,0,807,2340,4216,8844,8004,6887,5142,2647,756,10743
Tipperary,2010,88813,0,769,2271,4112,9076,8109,7044,5325,2798,854,10733
Tipperary,2011,89450,0,690,2140,4017,9168,8231,7110,5525,2843,915,10249
Tipperary,2012,90317,0,620,2068,3817,9224,8425,7223,5761,3014,1033,9682
Waterford,2009,60207,0,971,2141,3600,7879,7232,5906,4572,2335,629,7427
Waterford,2010,60894,0,872,2154,3502,8063,7401,6047,4685,2430,706,7243
Waterford,2011,61721,0,841,2106,3466,8106,7629,6255,4866,2540,751,6837
Waterford,2012,62191,0,742,2080,3332,8120,7827,6479,5013,2703,815,6377
Westmeath,2009,44318,0,820,2535,4855,10718,9550,7553,5069,2558,660,5533
Westmeath,2010,44838,0,712,2418,4751,10887,9704,7711,5243,2684,728,5452
Westmeath,2011,45680,0,733,2335,4654,11080,9910,7953,5476,2770,769,5169
Westmeath,2012,46079,0,650,2255,4442,11099,10049,8115,5706,2920,843,4881
Wexford,2009,77467,0,1779,4651,8041,17772,16254,12963,9750,4996,1261,9405
Wexford,2010,77851,0,1576,4460,7846,17867,16442,13158,9854,5291,1357,9434
Wexford,2011,79416,0,1519,4371,7644,18028,16873,13667,10212,5595,1507,9065
Wexford,2012,80633,0,1389,4094,7405,18136,17308,14064,10672,5952,1613,8456
Wicklow,2009,72877,0,1321,3777,7169,17306,16350,12686,9318,3983,967,8768
Wicklow,2010,73485,0,1175,3643,6862,17498,16667,12869,9500,4233,1038,8460
Wicklow,2011,74296,0,1068,3463,6582,17491,16930,13380,9714,4472,1196,8215
Wicklow,2012,75241,0,1015,3242,6305,17390,17333,13784,10014,4852,1306,7769
Dublin,2009,592603,0,7628,26054,57727,150374,130868,102348,73957,34040,9607,83178
Dublin,2010,591542,0,6529,24786,55132,150665,130586,103068,74446,35765,10565,81313
Dublin,2011,590767,0,5711,23132,52658,150260,131228,103717,75144,37518,11399,80390
Dublin,2012,592175,0,5106,21626,50040,150056,132775,104533,76148,39464,12427,75976
