county,year,full_licence,Under 17 years,17 - 20 years,21 - 24 years,25 - 29 years,30 - 39 years,40 - 49 years,50 - 59 years,60 - 69 years,70 - 79 years,80 years and over,learner
Carlow,2009,32277,0,715,1933,3728,7870,6758,5317,3730,1755,471,4451
Carlow,2010,32208,0,591,1840,3580,7921,6748,5386,3752,1850,540,4323
Carlow,2011,32381,0,568,1722,3480,7909,6908,5415,3872,1931,576,4220
Carlow,2012,32755,0,525,1634,3248,8035,7075,5527,4000,2100,611,3919
Cavan,2009,36852,0,891,2479,4297,8242,7340,6363,4385,2211,644,4554
Cavan,2010,37314,0,823,2399,4219,8503,7452,6367,4533,2326,692,4639
Cavan,2011,38169,0,793,2308,4191,8666,7750,6548,4741,2405,767,4533
Cavan,2012,38785,0,720,2218,3999,8969,7919,6645,4963,2516,836,4322
Clare,2009,66237,0,1487,3880,6858,15298,13980,11524,8599,3656,955,6928
Clare,2010,66636,0,1386,3789,6674,15469,14151,11476,8706,3947,1038,6586
Clare,2011,67349,0,1393,3689,6524,15325,14448,11667,9033,4122,1148,6329
Clare,2012,68347,0,1354,3493,6317,15319,14837,11948,9367,4461,1251,6052
Cork,2009,283419,1,6746,16250,29773,66451,59652,48361,35187,16429,4569,30982
Cork,2010,283739,0,6325,15765,28639,66984,59916,48359,35573,17244,4934,30313
Cork,2011,285460,0,5941,15372,27799,66984,60769,48867,36293,18127,5308,29430
Cork,2012,286827,0,5301,14598,26592,67140,61561,49579,37233,19084,5739,28084
Donegal,2009,87983,0,2330,6293,10042,19891,17590,14744,10923,4861,1309,8364
Donegal,2010,88535,0,2080,6123,9859,20271,17682,14739,11185,5194,1402,8424
Donegal,2011,89730,0,2049,5763,9807,20512,18084,14917,11523,5519,1556,8090
Donegal,2012,89932,0,1796,5252,9667,20453,18297,14943,11911,5915,1698,7442
Galway,2009,135032,0,2761,8293,15692,33551,27647,22536,15743,7043,1766,15441
Galway,2010,136668,0,2575,7943,15351,34209,28086,22866,16205,7487,1946,14789
Galway,2011,138954,0,2514,7613,14871,34873,28838,23380,16750,7958,2157,14062
Galway,2012,139877,0,2242,7142,14198,35023,29521,23722,17141,8547,2341,13303
Kerry,2009,83412,0,1895,4850,8876,18365,16557,15192,11304,5066,1307,8606
Kerry,2010,83322,0,1692,4658,8627,18470,16590,15029,11436,5343,1477,8421
Kerry,2011,83724,0,1616,4576,8341,18581,16693,15030,11707,5584,1596,8141
Kerry,2012,84088,0,1489,4320,8103,18439,16914,15067,12056,5972,1728,7812
Kildare,2009,107950,0,1659,5946,11603,28220,25315,18612,11744,3955,896,12931
Kildare,2010,108705,0,1462,5488,11195,28394,25831,18882,12212,4258,983,12771
Kildare,2011,110065,0,1425,4928,10863,28455,26619,19369,12742,4581,1083,12771
Kildare,2012,110963,0,1273,4579,10291,28209,27534,19590,13209,5075,1203,12400
Kilkenny,2009,49146,0,1129,2904,5076,11160,10224,8641,6232,2919,861,6243
Kilkenny,2010,49599,0,998,2855,4967,11335,10259,8831,6345,3076,933,6057
Kilkenny,2011,50453,0,946,2774,4911,11447,10512,9056,6543,3267,997,5857
Kilkenny,2012,51037,0,884,2686,4730,11549,10683,9193,6743,3470,1099,5603
Laois,2009,36564,0,760,2329,4301,8782,7684,6076,3986,2016,630,4760
Laois,2010,37299,0,621,2256,4185,9077,7906,6298,4151,2120,685,4778
Laois,2011,37984,0,582,2051,4099,9296,8104,6504,4364,2250,734,4594
Laois,2012,38649,0,491,1910,3927,9477,8434,6666,4602,2374,768,4466
Leitrim,2009,17736,0,428,1185,1940,3874,3361,3144,2260,1215,329,1777
Leitrim,2010,17947,0,407,1141,1935,3967,3354,3192,2330,1249,372,1795
Leitrim,2011,18203,0,415,1066,1883,4031,3433,3283,2418,1278,396,1704
Leitrim,2012,18369,0,360,1010,1836,4074,3525,3288,2511,1342,423,1594
Limerick,2009,103118,0,1885,4902,8640,18054,15556,13726,9924,4199,1068,11874
Limerick,2010,103071,0,1719,4708,8389,18186,15537,13584,10101,4445,1137,11244
Limerick,2011,103649,0,1654,4545,8114,18393,15728,13627,10330,4671,1227,10807
Limerick,2012,104094,0,1585,4281,7735,18520,15975,13655,10538,5053,1337,10061
Longford,2009,19897,0,369,1238,2313,4552,3786,3392,2654,1273,320,2601
Longford,2010,20179,0,379,1170,2266,4639,3871,3425,2740,1350,339,2460
Longford,2011,20467,0,352,1137,2160,4750,3969,3449,2861,1409,380,2367
Longford,2012,20797,0,328,1075,2135,4767,4109,3486,2969,1492,436,2236
Louth,2009,58649,0,961,3107,6044,14383,13112,9760,7254,3189,839,7651
Louth,2010,59079,0,843,2969,5843,14480,13392,9940,7302,3423,887,7568
Louth,2011,59539,0,775,2839,5656,14515,13765,10114,7436,3503,936,6942
Louth,2012,60640,0,686,2662,5491,14515,14160,10499,7751,3808,1068,6714
Mayo,2009,72701,0,1946,5061,8325,15317,13817,13141,9353,4540,1201,7609
Mayo,2010,73110,0,1753,4896,8194,15660,13727,13080,9645,4834,1321,7341
Mayo,2011,73960,0,1725,4794,8084,15900,13816,13152,9946,5092,1451,7153
Mayo,2012,74829,0,1583,4548,7997,16136,13929,13289,10345,5382,1620,6698
