region,gaurds,year
Sligo/Leitrim,235,2021
Clare,250,2021
Cork,1128,2021
Kerry,289,2021
Limerick,500,2021
Tipperary,330,2021
Dublin,3501,2010
Kildare,271,2010
Kilkenny/Carlow,264,2010
Laois/Offaly,258,2010
Meath,254,2010
Waterford,248,2010
Westmeath,215,2010
Wexford,228,2010
Wicklow,296,2010
Cavan/Monaghan,309,2010
Donegal,386,2010
Galway,494,2010
Louth,254,2010
Mayo,251,2010
Roscommon/Longford,243,2010
Sligo/Leitrim,260,2010
Clare,271,2010
Cork,1086,2010
Kerry,273,2010
Limerick,538,2010
Tipperary,312,2010
